type,b_mean,b_std,g_mean,g_std,r_mean,r_std
Blueberry,192.22140845070422,37.013313071044315,152.07267605633803,59.854733182832064,130.3938028169014,71.56036251111144
Blueberry,176.73896809232858,12.076649950214977,131.99261710794298,17.123375135842906,95.60327562797013,20.3424065073076
Blueberry,187.60643994714513,21.004279687472614,143.68746088045066,34.207579953385284,113.6654843869532,41.43685981597049
Blueberry,194.26684068710003,25.11255461479616,152.24040080835297,37.93091548574517,116.12554732233075,46.293630080179916
Blueberry,176.81941444684426,13.216438715059189,130.28281737461003,19.979820631706563,93.45140388768898,24.013924392813475
Blueberry,187.5312561110749,17.362953395726546,140.42513525845771,26.016979192437805,100.9174108597875,31.529781695972282
Blueberry,201.81419913419913,34.45785840961095,170.84900432900432,53.256514479512035,144.99532467532467,68.6113931368882
Blueberry,188.9785423074172,21.458788867877608,143.5725627637508,33.00121009964088,110.17137543809456,41.18875465562855
Blueberry,191.2299953746531,24.478793374456977,146.0127197039778,40.15118946958423,114.02520814061054,49.748981953781865
Blueberry,200.37114427860698,37.11966972439954,163.42421227197346,61.86246563329198,139.43217247097843,77.91788823214678
Blueberry,196.73151397011046,27.149984851468883,158.78453541260558,44.24615526769803,128.36569200779726,57.87615662103765
Blueberry,190.86583313296467,28.642749543991336,157.30151478720848,44.50534925327526,130.4477037749459,56.58637541883956
Blueberry,197.8330288637194,34.13461013591187,159.54439166971136,56.27099488485548,128.23127511874316,74.38212323398481
Blueberry,181.37182075090837,16.189962264131882,135.7276947920872,26.347694037255877,98.79390391602745,34.1677349114964
Blueberry,186.99719887955183,18.145526645358043,137.9108669108669,26.774167053181724,101.33836098541981,31.271851205643202
Blueberry,195.53003533568904,34.49494865973307,158.07597173144876,56.233069430309165,134.0024293286219,69.08285625006587
Blueberry,184.04713165497319,16.68453651729489,137.38406933553446,26.73196766734299,102.60445728435823,31.326974447725128
Blueberry,206.56378600823047,44.20305033099454,181.02821869488537,67.38776086810104,159.46031746031747,86.96773973780186
